top - 10:18:53 up 25 min,  1 user,  load average: 1,41, 1,67, 1,48
Tasks: 379 total,   1 running, 378 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7,7 us,  3,1 sy,  0,0 ni, 89,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  31835,6 total,  23171,5 free,   4322,7 used,   4341,4 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  26292,3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    427 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/169+
    428 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/170+
    429 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/171+
    430 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/172+
    431 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/173+
    432 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/174+
    433 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/175+
    436 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    437 root       0 -20       0      0      0 D   0,0   0,0   0:04.05 kworker+
    447 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    448 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    449 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    451 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    493 root      20   0       0      0      0 I   0,0   0,0   0:00.98 kworker+
    613 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 USBC000+
    669 root      20   0       0      0      0 S   0,0   0,0   0:00.04 jbd2/nv+
    670 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    705 systemd+  20   0   24552  13444   9488 S   0,0   0,0   0:00.51 systemd+
    706 systemd+  20   0   90912   5944   5156 S   0,0   0,0   0:00.06 systemd+
    737 root      10 -10    9908   5164   4056 S   0,0   0,0   0:00.66 ovsdb-s+
    763 root      20   0  246900   7580   6628 S   0,0   0,0   0:00.13 account+
    764 root      20   0    2548    776    708 S   0,0   0,0   0:00.53 acpid
    768 avahi     20   0    8800   4056   3532 S   0,0   0,0   0:00.54 avahi-d+
    769 root      20   0    8368   4972   4568 S   0,0   0,0   0:00.01 bluetoo+
    770 root      20   0   18056   2836   2628 S   0,0   0,0   0:00.00 cron
    772 root      20   0   37200   8932   7156 S   0,0   0,0   0:00.00 cupsd
    774 message+  20   0    9972   6560   3880 S   0,0   0,0   0:04.66 dbus-da+
    775 root      20   0  419308  21232  17016 S   0,0   0,1   0:02.47 Network+
    780 root      20   0  231884   6328   5292 S   0,0   0,0   0:00.41 iio-sen+
    783 root      20   0   81936   3704   3376 S   0,0   0,0   0:00.11 irqbala+
    785 root      20   0   48316  20864  12120 S   0,0   0,1   0:00.11 network+
    789 root      20   0  249824  13588   7368 S   0,0   0,0   0:01.50 polkitd
    791 syslog    20   0  224352   5308   3752 S   0,0   0,0   0:00.28 rsyslogd
    794 root      20   0 1467084  45756  20300 S   0,0   0,1   0:01.93 snapd
    795 root      20   0  244244   6128   5572 S   0,0   0,0   0:00.00 switche+
    802 root      20   0   17476   8248   7112 S   0,0   0,0   0:00.88 systemd+
    803 root      20   0  282552  10920   9908 S   0,0   0,0   0:05.96 thermald
    806 root      20   0  393568  12860  10468 S   0,0   0,0   0:00.36 udisksd
    808 root      20   0   14080   9256   8260 S   0,0   0,0   0:00.25 wpa_sup+
    814 avahi     20   0    8348    328      0 S   0,0   0,0   0:00.00 avahi-d+
    842 root      20   0  176488  12676  11032 S   0,0   0,0   0:00.30 cups-br+
    855 root      20   0  315112  11636   9832 S   0,0   0,0   0:00.18 ModemMa+
    856 root      20   0  247132   7304   6564 S   0,0   0,0   0:00.18 boltd
    986 root      10 -10  678196  89936  11640 S   0,0   0,3   0:06.08 ovs-vsw+
    998 root      20   0 1726372  47788  32996 S   0,0   0,1   0:04.15 contain+
   1001 root      20   0  126812  23308  15112 S   0,0   0,1   0:00.04 unatten+
   1003 root      20   0   12188   6744   5900 S   0,0   0,0   0:00.00 sshd
   1005 root      20   0  248248   8684   7492 S   0,0   0,0   0:00.01 gdm3
   1073 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 USBC000+
   1101 rtkit     21   1  152936   3028   2796 S   0,0   0,0   0:00.03 rtkit-d+
   1188 root      20   0  261144   9980   8440 S   0,0   0,0   0:00.28 upowerd
   1433 colord    20   0  254864  14756   9520 S   0,0   0,0   0:00.13 colord
   1476 root       0 -20       0      0      0 D   0,0   0,0   0:04.02 kworker+
   1556 root      20   0 2522148 201292  66508 S   0,0   0,6   0:34.88 dockerd
   1568 whoopsie  20   0  326864  15912  13984 S   0,0   0,0   0:00.38 whoopsie
   1588 kernoops  20   0   11264    444      0 S   0,0   0,0   0:00.03 kernelo+
   1605 kernoops  20   0   11264    444      0 S   0,0   0,0   0:00.02 kernelo+
   1660 root      20   0    2496    508    448 S   0,0   0,0   0:00.01 bpfilte+
   1804 root      20   0  175828   9468   7936 S   0,0   0,0   0:00.02 gdm-ses+
   1830 satrai    20   0   20084  10724   8176 S   0,0   0,0   0:02.06 systemd
   1831 satrai    20   0  104460   3756      4 S   0,0   0,0   0:00.00 (sd-pam)
   1836 satrai     9 -11 3589068  20828  16028 S   0,0   0,1   0:57.48 pulseau+
   1838 satrai    39  19  520164  24652  16452 S   0,0   0,1   0:00.08 tracker+
   1842 satrai    20   0    8436   5424   3852 S   0,0   0,0   0:00.38 dbus-da+
   1844 satrai    20   0  248820   7696   6632 S   0,0   0,0   0:00.05 gnome-k+
   1862 satrai    20   0  248456   7856   6820 S   0,0   0,0   0:00.04 gvfsd
   1867 satrai    20   0  378348   5464   4936 S   0,0   0,0   0:00.00 gvfsd-f+
   1869 satrai    20   0  322680   9560   7776 S   0,0   0,0   0:05.77 gvfs-ud+
   1880 satrai    20   0  246748   6444   5720 S   0,0   0,0   0:00.01 gvfs-gp+
   1885 satrai    20   0  325360   8952   7920 S   0,0   0,0   0:00.06 gvfs-af+
   1891 satrai    20   0  244512   6056   5528 S   0,0   0,0   0:00.01 gvfs-go+
   1895 satrai    20   0  561916  34760  28580 S   0,0   0,1   0:00.30 goa-dae+
   1898 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
   1905 satrai    20   0  323392   8876   7836 S   0,0   0,0   0:00.03 goa-ide+
   1911 satrai    20   0  244340   5796   5164 S   0,0   0,0   0:00.01 gvfs-mt+
   1925 satrai    20   0  172652   6600   5968 S   0,0   0,0   0:00.01 gdm-x-s+
   1937 satrai    20   0  196852  13860  12372 S   0,0   0,0   0:00.01 gnome-s+
   2006 satrai    20   0    6044    456      0 S   0,0   0,0   0:00.00 ssh-age+
   2024 satrai    20   0  305420   6660   6068 S   0,0   0,0   0:00.00 at-spi-+
   2029 satrai    20   0    7380   4280   3816 S   0,0   0,0   0:00.10 dbus-da+
   2037 satrai    20   0   98696   4360   3944 S   0,0   0,0   0:00.00 gnome-s+
   2044 satrai    20   0  492828  15580  12976 S   0,0   0,0   0:00.06 gnome-s+
   2084 satrai    20   0  396188  11564   6836 S   0,0   0,0   0:09.52 ibus-da+
   2088 satrai    20   0  171340   7104   6476 S   0,0   0,0   0:00.00 ibus-me+
   2089 satrai    20   0  284348  31864  18284 S   0,0   0,1   0:01.97 ibus-ex+
   2091 satrai    20   0  206604  28356  18464 S   0,0   0,1   0:00.17 ibus-x11
   2096 satrai    20   0  245140   6328   5868 S   0,0   0,0   0:00.03 ibus-po+
   2106 satrai    20   0  162840   7692   6912 S   0,0   0,0   0:00.28 at-spi2+
   2110 satrai    20   0  244232   4912   4480 S   0,0   0,0   0:00.00 xdg-per+
   2114 satrai    20   0  581332  20232  17280 S   0,0   0,1   0:00.04 gnome-s+
   2121 satrai    20   0  398884  25428  21712 S   0,0   0,1   0:00.02 evoluti+
   2130 satrai    20   0  847324  30660  26632 S   0,0   0,1   0:00.32 evoluti+
   2140 satrai    20   0  156364   5684   4956 S   0,0   0,0   0:00.03 dconf-s+
   2146 satrai    20   0  755688  29784  26276 S   0,0   0,1   0:00.30 evoluti+
   2161 satrai    20   0 2938928  26692  21668 S   0,0   0,1   0:00.04 gjs
   2173 satrai    20   0  322724   8104   6884 S   0,0   0,0   0:00.43 gvfsd-t+
   2183 satrai    20   0  318296   6480   5872 S   0,0   0,0   0:00.00 gsd-a11+
   2184 satrai    20   0  597336  30808  20560 S   0,0   0,1   0:00.16 gsd-col+
   2185 satrai    20   0  382248  16108  14160 S   0,0   0,0   0:00.01 gsd-dat+
   2187 satrai    20   0  320484   7548   6720 S   0,0   0,0   0:01.39 gsd-hou+
   2190 satrai    20   0  428400  28832  18724 S   0,0   0,1   0:00.21 gsd-key+
   2192 satrai    20   0  696972  31868  20920 S   0,0   0,1   0:00.36 gsd-med+
   2194 satrai    20   0  428804  29756  19544 S   0,0   0,1   0:00.52 gsd-pow+
   2195 satrai    20   0  256856  11428  10008 S   0,0   0,0   0:00.01 gsd-pri+
   2198 satrai    20   0  465736   6092   5496 S   0,0   0,0   0:00.25 gsd-rfk+
   2200 satrai    20   0  244144   5916   5392 S   0,0   0,0   0:00.00 gsd-scr+
   2202 satrai    20   0  473540  10572   8884 S   0,0   0,0   0:00.99 gsd-sha+
   2203 satrai    20   0  471260   8372   7536 S   0,0   0,0   0:00.01 gsd-sma+
   2204 satrai    20   0  327988   9232   8216 S   0,0   0,0   0:00.00 gsd-sou+
   2205 satrai    20   0  467328   7276   6580 S   0,0   0,0   0:00.01 gsd-usb+
   2206 satrai    20   0  354116  28168  18016 S   0,0   0,1   0:00.20 gsd-wac+
   2207 satrai    20   0  396456   7984   7080 S   0,0   0,0   0:00.01 gsd-wwan
   2208 satrai    20   0  355352  29760  19156 S   0,0   0,1   0:00.22 gsd-xse+
   2229 satrai    20   0  654752  59704  43536 S   0,0   0,2   0:00.23 evoluti+
   2235 satrai    20   0  231804   5808   4760 S   0,0   0,0   0:00.02 gsd-dis+
   2248 satrai    20   0  171332   7176   6544 S   0,0   0,0   0:02.68 ibus-en+
   2309 satrai    20   0  350820  15112  13216 S   0,0   0,0   0:00.00 gsd-pri+
   2369 satrai    20   0  876636  57596  42268 S   0,0   0,2   0:00.47 gnome-c+
   2581 satrai    20   0  755516  44852  28064 S   0,0   0,1   0:00.37 seahorse
   2721 satrai    20   0  207028  27124  18000 S   0,0   0,1   0:00.05 eclipse
   2744 satrai    20   0   93,4g   1,3g 101400 S   0,0   4,1   2:40.96 java
   2842 satrai    20   0   20768   6828   3952 S   0,0   0,0   0:00.19 bash
   2890 satrai    20   0   86,3g  42356  36096 S   0,0   0,1   0:00.36 WebKitN+
   2892 satrai    20   0   86,6g 132584 100896 S   0,0   0,4   0:00.91 WebKitW+
   2918 satrai    20   0  102,4g 133440 101376 S   0,0   0,4   0:00.97 WebKitW+
   2944 satrai    20   0  171084   6684   5924 S   0,0   0,0   0:00.01 gvfsd-m+
   2947 satrai    20   0  429196  31732  22128 S   0,0   0,1   0:00.15 update-+
   3090 satrai    20   0 3892608 357552 193948 S   0,0   1,1   0:22.71 firefox
   3131 satrai    20   0  471356  10756   9508 S   0,0   0,0   0:00.37 xdg-des+
   3135 satrai    20   0  474496   6628   5956 S   0,0   0,0   0:00.01 xdg-doc+
   3145 satrai    20   0  502528  28888  19400 S   0,0   0,1   0:00.18 xdg-des+
   3187 satrai    20   0  208604  45392  37532 S   0,0   0,1   0:00.03 Socket +
   3228 satrai    20   0 2452800 119972  94452 S   0,0   0,4   0:00.55 Privile+
   3282 satrai    20   0 2451596 103212  83876 S   0,0   0,3   0:00.35 WebExte+
   3332 satrai    20   0  206552  39044  31416 S   0,0   0,1   0:00.03 Utility+
   3339 satrai    20   0 2527416 165748 101908 S   0,0   0,5   0:03.09 Isolate+
   3346 satrai    20   0 2464896 131548 100696 S   0,0   0,4   0:04.33 Isolate+
   3442 satrai    20   0 2461004 123048  94160 S   0,0   0,4   0:02.38 Isolate+
   3500 satrai    20   0 2416040  77184  65964 S   0,0   0,2   0:00.06 Web Con+
   3529 satrai    20   0 2416044  76848  65616 S   0,0   0,2   0:00.05 Web Con+
   3604 satrai    20   0  360064   5824   5192 S   0,0   0,0   0:00.12 sd_dummy
   3607 satrai    20   0  360096   5300   4680 S   0,0   0,0   0:00.13 sd_gene+
   3610 satrai    20   0  459004   8200   6632 S   0,0   0,0   0:00.14 sd_espe+
   3616 satrai    20   0  168368   2240   1968 S   0,0   0,0   0:00.00 speech-+
   3623 satrai    20   0 2416044  77288  66052 S   0,0   0,2   0:00.05 Web Con+
   3673 satrai    20   0   86,4g 133220 101320 S   0,0   0,4   0:00.92 WebKitW+
   4010 satrai    20   0   19648   5652   3836 S   0,0   0,0   0:00.04 bash
   4020 satrai    20   0   19648   5356   3556 S   0,0   0,0   0:00.04 bash
   4026 satrai    20   0   19648   5424   3624 S   0,0   0,0   0:00.05 bash
   4681 root      20   0       0      0      0 I   0,0   0,0   0:00.83 kworker+
   4685 root      20   0       0      0      0 I   0,0   0,0   0:00.05 kworker+
   4906 root      20   0       0      0      0 I   0,0   0,0   0:00.15 kworker+
   5145 root      20   0       0      0      0 I   0,0   0,0   0:00.35 kworker+
   7248 satrai    20   0   19648   5532   3708 S   0,0   0,0   0:00.06 bash
   7585 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   7645 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   7647 root      20   0       0      0      0 I   0,0   0,0   0:00.13 kworker+
   7671 root      20   0       0      0      0 I   0,0   0,0   0:00.49 kworker+
   7679 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   7999 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   8000 root      20   0       0      0      0 I   0,0   0,0   0:00.15 kworker+
   8004 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   8083 root      20   0       0      0      0 I   0,0   0,0   0:00.37 kworker+
   8841 root      20   0       0      0      0 I   0,0   0,0   0:00.17 kworker+
  10773 satrai    20   0 4265588 325544 163544 S   0,0   1,0   0:08.87 spyder3
  10795 satrai    20   0  581152 114984  43520 S   0,0   0,4   0:01.41 python3+
  10808 satrai    20   0  550680  92968  41824 S   0,0   0,3   0:01.12 python3+
  10839 uuidd     20   0   19232   1004    832 S   0,0   0,0   0:00.03 uuidd
  10841 satrai    20   0  964860 121716  34992 S   0,0   0,4   0:01.94 python3+
  10872 satrai    20   0  396468   8580   7616 S   0,0   0,0   0:00.03 gvfsd-n+
  10887 satrai    20   0  323752   8392   7424 S   0,0   0,0   0:00.02 gvfsd-d+
  11036 root      20   0       0      0      0 I   0,0   0,0   0:00.05 kworker+
  11168 satrai    20   0   86,4g 133280 101412 S   0,0   0,4   0:00.40 WebKitW+
  11228 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  11249 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  11299 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  11312 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  11332 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  11428 root      20   0       0      0      0 I   0,0   0,0   0:00.05 kworker+
  11512 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  11547 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
  11548 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  11659 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  12545 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
  12601 root      20   0   20572   4616   3908 S   0,0   0,0   0:00.00 sudo
  12602 root      20   0   51076  33084  11756 S   0,0   0,1   0:00.45 python3
  12606 root      20   0   18212   3616   3344 S   0,0   0,0   0:00.00 bash
  12619 root      20   0 1083144   3096   2300 S   0,0   0,0   0:00.00 docker-+
  12625 root      20   0 1156876   3072   2284 S   0,0   0,0   0:00.00 docker-+
  12638 root      20   0 1230352   3320   2536 S   0,0   0,0   0:00.00 docker-+
  12646 root      20   0 1230608   3380   2596 S   0,0   0,0   0:00.00 docker-+
  12660 root      20   0 1230608   3060   2268 S   0,0   0,0   0:00.00 docker-+
  12667 root      20   0 1230608   3144   2352 S   0,0   0,0   0:00.00 docker-+
  12682 root      20   0 1230608   3204   2416 S   0,0   0,0   0:00.00 docker-+
  12689 root      20   0 1230608   3204   2420 S   0,0   0,0   0:00.00 docker-+
  12704 root      20   0 1230608   3064   2280 S   0,0   0,0   0:00.00 docker-+
  12712 root      20   0 1230608   3220   2436 S   0,0   0,0   0:00.00 docker-+
  12726 root      20   0 1156876   3244   2460 S   0,0   0,0   0:00.00 docker-+
  12733 root      20   0 1230608   3228   2440 S   0,0   0,0   0:00.00 docker-+
  12747 root      20   0 1230608   3160   2368 S   0,0   0,0   0:00.00 docker-+
  12754 root      20   0 1156620   3324   2540 S   0,0   0,0   0:00.00 docker-+
  12768 root      20   0 1304340   3136   2348 S   0,0   0,0   0:00.00 docker-+
  12774 root      20   0 1230352   3068   2276 S   0,0   0,0   0:00.00 docker-+
  12791 root      20   0 1156876   3308   2524 S   0,0   0,0   0:00.00 docker-+
  12798 root      20   0 1230352   3124   2332 S   0,0   0,0   0:00.00 docker-+
  12812 root      20   0 1230352   3080   2292 S   0,0   0,0   0:00.00 docker-+
  12819 root      20   0 1156876   3292   2508 S   0,0   0,0   0:00.00 docker-+
  12834 root      20   0  720756  10088   7732 S   0,0   0,0   0:00.03 contain+
  12900 root      20   0 1329280  23240  15696 S   0,0   0,1   0:00.02 docker
  12977 root      20   0    6056   3796   3296 S   0,0   0,0   0:00.02 bash
  13000 root      20   0 1230352   3312   2532 S   0,0   0,0   0:00.00 docker-+
  13006 root      20   0 1230352   3156   2364 S   0,0   0,0   0:00.00 docker-+
  13023 root      20   0  720500   9684   7220 S   0,0   0,0   0:00.04 contain+
  13053 root      20   0    4116   3452   2992 S   0,0   0,0   0:00.03 bash
  13122 root      20   0 1403012  23452  15504 S   0,0   0,1   0:00.02 docker
  13169 root      20   0    4116   3432   2896 S   0,0   0,0   0:00.03 bash
  13192 root      20   0 1230352   3300   2516 S   0,0   0,0   0:00.00 docker-+
  13200 root      20   0 1230352   3308   2532 S   0,0   0,0   0:00.00 docker-+
